scope,shots,replicate,contrast,auc_difference,advantage_difference,tpr_at_0_1pct_fpr_difference,tpr_at_1pct_fpr_difference,tpr_at_5pct_fpr_difference
eff_su2_r1_d2,64,20,matched_minus_deconvolved_mean,-0.022027777777777646,-0.033333333333333326,0.0033333333333333335,0.009999999999999998,0.0016666666666666635
eff_su2_r1_d2,64,21,matched_minus_mismatched,-0.003874999999999962,-0.0116666666666667,0.008333333333333333,0.02,0.003333333333333341
eff_su2_r1_d2,64,21,matched_minus_naive_mean,-0.0018444444444444263,-0.023333333333333303,0.008333333333333333,0.02,0.030000000000000006
eff_su2_r1_d2,64,21,matched_minus_deconvolved_mean,-0.008788888888888957,-0.0016666666666666913,0.008333333333333333,0.02,0.026666666666666672
eff_su2_r1_d2,64,22,matched_minus_mismatched,-0.006527777777777799,-0.023333333333333296,0.01,0.016666666666666666,0.0
eff_su2_r1_d2,64,22,matched_minus_naive_mean,-0.007652777777777842,-0.025,0.01,0.02,0.018333333333333326
eff_su2_r1_d2,64,22,matched_minus_deconvolved_mean,-0.024191666666666722,-0.029999999999999895,0.01,0.013333333333333334,0.006666666666666661
eff_su2_r1_d2,64,23,matched_minus_mismatched,0.009730555555555576,0.008333333333333304,0.018333333333333333,0.015000000000000001,-0.003333333333333341
eff_su2_r1_d2,64,23,matched_minus_naive_mean,0.01319999999999999,0.018333333333333313,0.018333333333333333,0.01666666666666667,0.018333333333333326
eff_su2_r1_d2,64,23,matched_minus_deconvolved_mean,-0.00017500000000003624,5.551115123125783e-17,0.018333333333333333,0.021666666666666667,0.023333333333333324
eff_su2_r1_d2,64,24,matched_minus_mismatched,0.000886111111111143,-0.008333333333333415,0.028333333333333332,0.028333333333333332,-0.008333333333333331
eff_su2_r1_d2,64,24,matched_minus_naive_mean,-0.0011027777777777859,-0.013333333333333308,0.028333333333333332,0.03166666666666667,-0.0016666666666666774
eff_su2_r1_d2,64,24,matched_minus_deconvolved_mean,-0.014436111111111094,-0.025000000000000022,0.028333333333333332,0.026666666666666665,-0.008333333333333331
eff_su2_r1_d2,64,25,matched_minus_mismatched,-0.015666666666666718,-0.008333333333333276,0.0016666666666666668,0.028333333333333335,0.008333333333333331
eff_su2_r1_d2,64,25,matched_minus_naive_mean,-0.019863888888888903,-0.0033333333333333826,0.0016666666666666668,0.030000000000000002,0.019999999999999997
eff_su2_r1_d2,64,25,matched_minus_deconvolved_mean,-0.011986111111111142,-0.014999999999999986,0.0016666666666666668,0.030000000000000002,0.03166666666666667
eff_su2_r1_d2,64,26,matched_minus_mismatched,-0.0036000000000000476,-0.008333333333333331,0.0,0.018333333333333333,0.026666666666666672
eff_su2_r1_d2,64,26,matched_minus_naive_mean,-0.002158333333333373,-0.023333333333333234,0.0,0.024999999999999998,0.03333333333333334
eff_su2_r1_d2,64,26,matched_minus_deconvolved_mean,-0.002761111111111214,-0.013333333333333225,0.0,0.019999999999999997,0.025
eff_su2_r1_d2,64,27,matched_minus_mismatched,-0.0007999999999999119,-0.0016666666666666774,-0.0016666666666666668,0.024999999999999998,0.011666666666666659
eff_su2_r1_d2,64,27,matched_minus_naive_mean,0.0014333333333333975,0.0033333333333332993,0.0,0.02333333333333333,0.018333333333333326
