scope,scope_id,mode,shots,attack,reference_count,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
cell,eff_su2_r1_d2,ideal_shot,1024,noise_augmented_lira,4,10,0.5115666666666667,0.4946766666666666,0.5363133333333333,0.07999999999999996,0.047500000000000056,0.10183333333333335,0.0,0.0,0.010666666666666652,0.006666666666666667,0.0033333333333333335,0.023999999999999987,0.03833333333333333,0.0315,0.06516666666666666
cell,eff_su2_r1_d2,ideal_shot,1024,noise_augmented_lira,8,10,0.5138111111111112,0.5043794444444444,0.53799,0.05666666666666667,0.04483333333333334,0.10366666666666666,0.0,0.0,0.010333333333333326,0.01,0.0,0.018499999999999996,0.056666666666666664,0.0415,0.07066666666666666
cell,eff_su2_r1_d2,ideal_shot,1024,target_crossfit_learned_mia,0,10,0.49650555555555553,0.46822,0.5271377777777778,0.04833333333333337,0.01666666666666672,0.07700000000000001,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0015,0.006666666666666667,0.03,0.023,0.051833333333333335
cell,eff_su2_r1_d2,ideal_shot,128,affine_channel_lira,16,10,0.5066444444444445,0.4668744444444444,0.5251166666666667,0.050000000000000044,0.019999999999999987,0.08033333333333334,0.0,0.0,0.005166666666666663,0.006666666666666667,0.0015,0.033166666666666636,0.03833333333333333,0.0245,0.07183333333333333
cell,eff_su2_r1_d2,ideal_shot,128,affine_channel_lira,4,10,0.5130833333333333,0.4953333333333333,0.5329977777777778,0.06,0.0341666666666667,0.09066666666666667,0.0,0.0,0.006999999999999993,0.0033333333333333335,0.0,0.010333333333333326,0.043333333333333335,0.0315,0.06
cell,eff_su2_r1_d2,ideal_shot,128,affine_channel_lira,8,10,0.5038555555555555,0.4742955555555556,0.5180438888888889,0.07333333333333333,0.024500000000000022,0.08516666666666668,0.005,0.0,0.020666666666666653,0.011666666666666667,0.0015,0.03,0.051666666666666666,0.034833333333333334,0.08033333333333333
cell,eff_su2_r1_d2,ideal_shot,128,deconvolved_lira,16,10,0.5179333333333334,0.4879822222222222,0.5349855555555555,0.07333333333333336,0.03333333333333334,0.09766666666666665,0.0,0.0,0.0,0.006666666666666667,0.0,0.01733333333333332,0.045,0.03,0.06916666666666664
cell,eff_su2_r1_d2,ideal_shot,128,deconvolved_lira,4,10,0.4996111111111111,0.4858772222222222,0.5115755555555556,0.04500000000000004,0.02633333333333337,0.06850000000000007,0.0016666666666666668,0.0,0.006666666666666667,0.006666666666666667,0.0015,0.01,0.04166666666666667,0.0315,0.056666666666666664
cell,eff_su2_r1_d2,ideal_shot,128,deconvolved_lira,8,10,0.53795,0.5258905555555555,0.550001111111111,0.10166666666666668,0.06633333333333329,0.11033333333333334,0.0,0.0,0.0,0.0016666666666666668,0.0,0.011833333333333331,0.06,0.04116666666666667,0.07883333333333332
cell,eff_su2_r1_d2,ideal_shot,128,empirical_channel_lira,16,10,0.5055499999999999,0.4728816666666667,0.5148933333333333,0.053333333333333344,0.028166666666666652,0.0785,0.0,0.0,0.0018333333333333298,0.006666666666666667,0.0015,0.035166666666666666,0.04666666666666667,0.021500000000000002,0.0713333333333333
