strategy,auxiliary_target_count,subset_replicate,shots,contrast,n_simulator_seeds,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_2,2,34,128,affine_minus_mismatched_lira,10,0.004925555555555627,0.003666666666666667,-0.009000000000000001,0.009333333333333336
cross_cell_2,2,34,512,affine_minus_loss,10,0.022507333333333324,0.002666666666666667,0.001333333333333334,0.024666666666666663
cross_cell_2,2,34,512,affine_minus_mismatched_lira,10,0.009745777777777798,0.0006666666666666665,0.002999999999999999,0.019999999999999997
cross_cell_2,2,35,1024,affine_minus_loss,10,0.02662066666666668,0.001,0.010666666666666665,0.029
cross_cell_2,2,35,1024,affine_minus_mismatched_lira,10,0.00895888888888885,-0.002,0.005999999999999998,0.018333333333333333
cross_cell_2,2,35,128,affine_minus_loss,10,0.012788999999999995,0.002666666666666667,0.008,0.020666666666666667
cross_cell_2,2,35,128,affine_minus_mismatched_lira,10,0.006225111111111126,0.0036666666666666666,-0.003,0.008666666666666668
cross_cell_2,2,35,512,affine_minus_loss,10,0.021848000000000034,0.002,0.009999999999999998,0.026999999999999996
cross_cell_2,2,35,512,affine_minus_mismatched_lira,10,0.008473777777777802,0.00033333333333333327,0.004666666666666665,0.014333333333333333
cross_cell_2,2,36,1024,affine_minus_loss,10,0.028013111111111155,0.002,-0.03866666666666667,-0.007666666666666669
cross_cell_2,2,36,1024,affine_minus_mismatched_lira,10,0.008544444444444466,0.0,0.00033333333333333305,0.013999999999999999
cross_cell_2,2,36,128,affine_minus_loss,10,0.013296333333333354,0.003333333333333333,-0.020666666666666667,-0.004000000000000002
cross_cell_2,2,36,128,affine_minus_mismatched_lira,10,0.0071922222222222665,0.004333333333333333,-0.012,0.005333333333333334
cross_cell_2,2,36,512,affine_minus_loss,10,0.02275155555555558,0.0023333333333333335,-0.033,-0.005666666666666669
cross_cell_2,2,36,512,affine_minus_mismatched_lira,10,0.009628666666666674,0.0006666666666666666,-0.0013333333333333322,0.013666666666666667
cross_cell_2,2,37,1024,affine_minus_loss,10,0.02545555555555551,0.0016666666666666668,-0.024666666666666663,0.0016666666666666687
cross_cell_2,2,37,1024,affine_minus_mismatched_lira,10,0.007317777777777756,-0.001,-0.0013333333333333322,0.014
cross_cell_2,2,37,128,affine_minus_loss,10,0.011645222222222196,0.003333333333333333,-0.008666666666666666,0.012666666666666666
cross_cell_2,2,37,128,affine_minus_mismatched_lira,10,0.00481422222222222,0.004999999999999999,-0.015333333333333332,0.003666666666666667
cross_cell_2,2,37,512,affine_minus_loss,10,0.021194444444444516,0.002,-0.018666666666666668,0.009999999999999997
cross_cell_2,2,37,512,affine_minus_mismatched_lira,10,0.007320888888888877,0.00033333333333333327,-0.001,0.017
cross_cell_2,2,38,1024,affine_minus_loss,10,0.02340333333333333,0.0016666666666666666,-0.013000000000000001,0.004666666666666668
cross_cell_2,2,38,1024,affine_minus_mismatched_lira,10,0.006872666666666694,-0.0013333333333333333,0.000666666666666667,0.007
cross_cell_2,2,38,128,affine_minus_loss,10,0.00968144444444452,0.00033333333333333327,-0.002333333333333333,0.012
cross_cell_2,2,38,128,affine_minus_mismatched_lira,10,0.004533111111111099,0.0016666666666666666,-0.009000000000000001,0.0016666666666666653
cross_cell_2,2,38,512,affine_minus_loss,10,0.01765844444444442,0.002,-0.008666666666666666,0.006666666666666666
cross_cell_2,2,38,512,affine_minus_mismatched_lira,10,0.0043620000000000325,0.0,0.0,0.004333333333333334
cross_cell_2,2,39,1024,affine_minus_loss,10,0.027408888888888927,0.0013333333333333335,-0.006999999999999999,0.011
cross_cell_2,2,39,1024,affine_minus_mismatched_lira,10,0.011335333333333308,-0.0006666666666666668,-0.003999999999999999,0.0033333333333333322
cross_cell_2,2,39,128,affine_minus_loss,10,0.01227877777777786,0.001,0.0016666666666666661,0.018333333333333333
cross_cell_2,2,39,128,affine_minus_mismatched_lira,10,0.006197555555555678,0.002,-0.008666666666666666,0.0069999999999999975
cross_cell_2,2,39,512,affine_minus_loss,10,0.02241622222222217,0.002666666666666667,-0.002666666666666667,0.013333333333333332
cross_cell_2,2,39,512,affine_minus_mismatched_lira,10,0.009539555555555523,0.00033333333333333327,-0.002666666666666667,0.004333333333333334
cross_cell_2,2,4,1024,affine_minus_loss,10,0.02521422222222225,0.003333333333333333,-0.008666666666666666,0.011666666666666667
cross_cell_2,2,4,1024,affine_minus_mismatched_lira,10,0.005857777777777795,0.0006666666666666665,0.001333333333333334,0.011
cross_cell_2,2,4,128,affine_minus_loss,10,0.013326555555555564,0.006,-0.006666666666666667,0.005333333333333336
cross_cell_2,2,4,128,affine_minus_mismatched_lira,10,0.006894444444444481,0.006333333333333333,-0.004999999999999998,0.006333333333333335
cross_cell_2,2,4,512,affine_minus_loss,10,0.020844888888888913,0.0033333333333333335,-0.008666666666666668,0.009333333333333334
cross_cell_2,2,4,512,affine_minus_mismatched_lira,10,0.008032666666666688,0.0006666666666666665,-0.002333333333333333,0.008333333333333331
cross_cell_2,2,40,1024,affine_minus_loss,10,0.0225751111111111,0.002,-0.018666666666666665,-0.0006666666666666661
