strategy,auxiliary_target_count,shots,simulator_seed,attack,n_subset_replicates,actual_fpr,calibrated_tpr
cross_cell_4,4,512,3,latent_lira_mismatched,32,0.013333333333333334,0.015
cross_cell_4,4,512,3,loss_mia,32,0.011666666666666667,0.010666666666666666
cross_cell_4,4,512,4,affine_channel_lira,32,0.013000000000000001,0.027000000000000003
cross_cell_4,4,512,4,latent_lira_mismatched,32,0.013666666666666667,0.020999999999999998
cross_cell_4,4,512,4,loss_mia,32,0.013666666666666667,0.010666666666666666
cross_cell_4,4,512,5,affine_channel_lira,32,0.010666666666666666,0.027666666666666666
cross_cell_4,4,512,5,latent_lira_mismatched,32,0.012,0.018
cross_cell_4,4,512,5,loss_mia,32,0.016,0.009666666666666667
cross_cell_4,4,512,6,affine_channel_lira,32,0.014333333333333333,0.026
cross_cell_4,4,512,6,latent_lira_mismatched,32,0.012333333333333333,0.014
cross_cell_4,4,512,6,loss_mia,32,0.015,0.008333333333333333
cross_cell_4,4,512,7,affine_channel_lira,32,0.011666666666666667,0.024666666666666667
cross_cell_4,4,512,7,latent_lira_mismatched,32,0.012,0.014666666666666666
cross_cell_4,4,512,7,loss_mia,32,0.013000000000000001,0.010333333333333333
cross_cell_4,4,512,8,affine_channel_lira,32,0.011333333333333334,0.028333333333333335
cross_cell_4,4,512,8,latent_lira_mismatched,32,0.014,0.020333333333333335
cross_cell_4,4,512,8,loss_mia,32,0.013666666666666667,0.01
cross_cell_4,4,512,9,affine_channel_lira,32,0.011333333333333334,0.027333333333333334
cross_cell_4,4,512,9,latent_lira_mismatched,32,0.014666666666666666,0.015666666666666666
cross_cell_4,4,512,9,loss_mia,32,0.015,0.008666666666666666
cross_cell_8,8,1024,0,affine_channel_lira,32,0.010666666666666666,0.025333333333333333
cross_cell_8,8,1024,0,latent_lira_mismatched,32,0.012,0.019333333333333334
cross_cell_8,8,1024,0,loss_mia,32,0.014666666666666666,0.007666666666666667
cross_cell_8,8,1024,1,affine_channel_lira,32,0.012666666666666666,0.026
cross_cell_8,8,1024,1,latent_lira_mismatched,32,0.013333333333333334,0.020666666666666667
cross_cell_8,8,1024,1,loss_mia,32,0.013333333333333334,0.01
cross_cell_8,8,1024,2,affine_channel_lira,32,0.01,0.027333333333333334
cross_cell_8,8,1024,2,latent_lira_mismatched,32,0.01,0.019000000000000003
cross_cell_8,8,1024,2,loss_mia,32,0.015,0.01
cross_cell_8,8,1024,3,affine_channel_lira,32,0.010666666666666666,0.027000000000000003
cross_cell_8,8,1024,3,latent_lira_mismatched,32,0.011333333333333334,0.012666666666666666
cross_cell_8,8,1024,3,loss_mia,32,0.013666666666666667,0.010666666666666666
cross_cell_8,8,1024,4,affine_channel_lira,32,0.012333333333333333,0.029333333333333333
cross_cell_8,8,1024,4,latent_lira_mismatched,32,0.009666666666666667,0.018
cross_cell_8,8,1024,4,loss_mia,32,0.014,0.01
cross_cell_8,8,1024,5,affine_channel_lira,32,0.009333333333333334,0.025333333333333333
cross_cell_8,8,1024,5,latent_lira_mismatched,32,0.01,0.02
cross_cell_8,8,1024,5,loss_mia,32,0.013666666666666667,0.009333333333333334
cross_cell_8,8,1024,6,affine_channel_lira,32,0.011333333333333334,0.02366666666666667
cross_cell_8,8,1024,6,latent_lira_mismatched,32,0.013333333333333334,0.014666666666666666
cross_cell_8,8,1024,6,loss_mia,32,0.015333333333333334,0.01
cross_cell_8,8,1024,7,affine_channel_lira,32,0.012,0.024
cross_cell_8,8,1024,7,latent_lira_mismatched,32,0.010333333333333333,0.017
cross_cell_8,8,1024,7,loss_mia,32,0.015333333333333332,0.010333333333333333
cross_cell_8,8,1024,8,affine_channel_lira,32,0.012,0.02666666666666667
cross_cell_8,8,1024,8,latent_lira_mismatched,32,0.010666666666666666,0.02
cross_cell_8,8,1024,8,loss_mia,32,0.016,0.010666666666666666
cross_cell_8,8,1024,9,affine_channel_lira,32,0.010666666666666666,0.02666666666666667
cross_cell_8,8,1024,9,latent_lira_mismatched,32,0.016666666666666666,0.017333333333333333
cross_cell_8,8,1024,9,loss_mia,32,0.015,0.008666666666666666
cross_cell_8,8,128,0,affine_channel_lira,32,0.011333333333333334,0.022333333333333334
cross_cell_8,8,128,0,latent_lira_mismatched,32,0.016666666666666666,0.02
cross_cell_8,8,128,0,loss_mia,32,0.015333333333333332,0.008666666666666666
cross_cell_8,8,128,1,affine_channel_lira,32,0.010333333333333333,0.024666666666666667
cross_cell_8,8,128,1,latent_lira_mismatched,32,0.016666666666666666,0.016666666666666666
cross_cell_8,8,128,1,loss_mia,32,0.010333333333333333,0.012333333333333333
cross_cell_8,8,128,2,affine_channel_lira,32,0.011333333333333334,0.023333333333333334
cross_cell_8,8,128,2,latent_lira_mismatched,32,0.015333333333333332,0.015333333333333332
cross_cell_8,8,128,2,loss_mia,32,0.006666666666666667,0.011333333333333334
cross_cell_8,8,128,3,affine_channel_lira,32,0.012666666666666666,0.020999999999999998
cross_cell_8,8,128,3,latent_lira_mismatched,32,0.013333333333333334,0.014666666666666666
