scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,deconvolved_lira,16,600,600,0.5146194444444445,0.04666666666666669,0.0016666666666666668,0.0,0.015,0.01,0.06666666666666667,0.04833333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,deconvolved_lira,16,200,200,0.5027999999999999,0.06000000000000005,0.005,0.0,0.025,0.01,0.065,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,deconvolved_lira,16,200,200,0.52175,0.07,0.0,0.0,0.025,0.01,0.06,0.035
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,deconvolved_lira,16,200,200,0.52095,0.10000000000000003,0.0,0.0,0.005,0.005,0.03,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,deconvolved_lira,16,600,600,0.4953444444444444,0.030000000000000013,0.006666666666666667,0.0,0.01,0.008333333333333333,0.04666666666666667,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,deconvolved_lira,16,200,200,0.47445000000000004,0.030000000000000006,0.015,0.0,0.035,0.01,0.06,0.045
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,deconvolved_lira,16,200,200,0.5092,0.04999999999999999,0.01,0.0,0.01,0.0,0.035,0.045
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,deconvolved_lira,16,200,200,0.501125,0.05499999999999999,0.01,0.0,0.01,0.0,0.045,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,affine_channel_lira,16,600,600,0.5207972222222221,0.08666666666666667,0.0,0.0,0.008333333333333333,0.01,0.04,0.035
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,affine_channel_lira,16,200,200,0.5196749999999999,0.07499999999999996,0.0,0.0,0.01,0.005,0.04,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,affine_channel_lira,16,200,200,0.5192499999999999,0.07999999999999996,0.005,0.0,0.02,0.01,0.035,0.035
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,affine_channel_lira,16,200,200,0.524425,0.13500000000000006,0.0,0.0,0.0,0.0,0.06,0.035
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,affine_channel_lira,16,600,600,0.5194722222222222,0.05333333333333329,0.0033333333333333335,0.0,0.02,0.008333333333333333,0.06,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,affine_channel_lira,16,200,200,0.5014,0.05500000000000005,0.0,0.0,0.015,0.01,0.065,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,affine_channel_lira,16,200,200,0.532025,0.07,0.01,0.0,0.03,0.01,0.06,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,affine_channel_lira,16,200,200,0.5227999999999999,0.07,0.005,0.0,0.045,0.01,0.07,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,empirical_channel_lira,16,600,600,0.5164888888888889,0.08333333333333337,0.0,0.0,0.008333333333333333,0.01,0.03833333333333333,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,empirical_channel_lira,16,200,200,0.50705,0.05500000000000005,0.0,0.0,0.005,0.01,0.045,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,0,empirical_channel_lira,16,200,200,0.5154249999999999,0.11499999999999994,0.0,0.0,0.01,0.005,0.03,0.015
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,0,empirical_channel_lira,16,200,200,0.52885,0.13,0.0,0.0,0.005,0.01,0.045,0.045
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,empirical_channel_lira,16,600,600,0.5144361111111111,0.046666666666666634,0.0016666666666666668,0.0,0.02,0.008333333333333333,0.04833333333333333,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,1,empirical_channel_lira,16,200,200,0.500925,0.07999999999999996,0.0,0.0,0.02,0.01,0.045,0.045
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,noisy_shot,128,1,empirical_channel_lira,16,200,200,0.521875,0.08000000000000002,0.01,0.0,0.03,0.005,0.045,0.045
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,noisy_shot,128,1,empirical_channel_lira,16,200,200,0.5171250000000001,0.07,0.005,0.0,0.015,0.005,0.065,0.045
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,noise_augmented_lira,16,600,600,0.5136916666666667,0.04833333333333334,0.0,0.0,0.008333333333333333,0.008333333333333333,0.03,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,noisy_shot,128,0,noise_augmented_lira,16,200,200,0.505425,0.040000000000000036,0.01,0.0,0.01,0.0,0.04,0.05
